2018 VARIABLE NAME,2018 DESCRIPTION,,CENSUS or SVI TABLE(S),FIELD NAME CHANGED SINCE 2016?,2018 TABLE FIELD CALCULATION,CALCULATION DESCRIPTION,NOTES,2016 TABLE FIELD CALCULATION if changed
,,,,,,,,
,,THEME,,,,,,
ST,State-level FIPS code,,SVI,No,FIPS,"In Excel, from Tract-level FIPS code, LEFT (FIPS, 2)",,
STATE,State name,,S0601,Yes,NAME,"In Excel, use DATA|Text to Columns to extract state name",,GEO.display-label
ST_ABBR,State abbreviation,,N/A,No,N/A,Joined from Esri state boundary shapefile,,
STCNTY,County-level FIPS code,,SVI,No,FIPS,"In Excel, from Tract-level FIPS code, LEFT (FIPS, 5)","In the county-level SVI database, the 5-digit STCNTY field is the FIPS field, used for joins.",GEO.id
COUNTY,County name,,S0601,Yes,NAME,"In Excel, use DATA| Text to Columns to extract county name",,GEO.display-label
FIPS,Tract-level FIPS code,,S0601,Yes,GEO_ID,"In Excel, RIGHT (GEO.id, 11)",,
LOCATION,"Text description of tract, county, state",,S0601,Yes,NAME,,,GEO.display-label
AREA_SQMI,Tract area in square miles,,Census Cartographic Boundary File - U.S. Tracts 2018 500K,No,ALAND * 3.86102e-7,Conversion from square meters to square miles,,
E_TOTPOP,"Population estimate, 2014-2018 ACS",,S0601,Yes,S0601_C01_001E,,,HC01_EST_VC01
M_TOTPOP,"Population estimate MOE, 2014-2018 ACS",,S0601,Yes,S0601_C01_001M,,,HC01_MOE_VC01
E_HU,"Housing units estimate, 2014-2018 ACS",,DP04,Yes,DP04_0001E,,,HC01_VC03
M_HU,"Housing units estimate MOE, 2014-2018 ACS",,DP04,Yes,DP04_0001M,,,HC02_VC03
E_HH,"Households estimate, 2014-2018 ACS",,DP02,Yes,DP02_0001E,,,HC01_VC03
M_HH,"Households estimate MOE, 2014-2018 ACS",,DP02,Yes,DP02_0001M,,,HC02_VC03
E_POV,"Persons below poverty estimate, 2014-2018 ACS",1,B17001,Yes,B17001_002E,,,HD01_VD02
M_POV,"Persons below poverty estimate MOE, 2014-2018 ACS",1,B17001,Yes,B17001_002M,,,HD02_VD02
E_UNEMP,"Civilian (age 16+) unemployed estimate, 2014-2018 ACS",1,DP03,Yes,DP03_0005E,,,HC01_VC07
M_UNEMP,"Civilian (age 16+) unemployed estimate MOE, 2014-2018 ACS",1,DP03,Yes,DP03_0005M,,,HC02_VC07
E_PCI,"Per capita income estimate, 2014-2018 ACS ",1,B19301,Yes,B19301_001E,,Fewer rows than other variables - joined to Census 2016 tracts. Contains null cells (i.e. -999).,HD01_VD01
M_PCI,"Per capita income estimate MOE, 2014-2018 ACS",1,B19301,Yes,B19301_001M,,Fewer rows than other variables - joined to Census 2016 tracts,HD02_VD01
E_NOHSDP,"Persons (age 25+) with no high school diploma estimate, 2014-2018 ACS",1,B06009,Yes,B06009_002E,,,HD01_VD03
M_NOHSDP,"Persons (age 25+) with no high school diploma estimate MOE, 2014-2018 ACS",1,B06009,Yes,B06009_002M,,,HD02_VD03
E_AGE65,"Persons aged 65 and older estimate, 2014-2018 ACS",2,S0101,Yes,S0101_C01_030E,,,HC01_EST_VC32
M_AGE65,"Persons aged 65 and older estimate MOE, 2014-2018 ACS",2,S0101,Yes,S0101_C01_030M,,,HC01_MOE_VC32
