year,FIPS,WaterSupply.Surface.Fresh,WaterSupply.Surface.Saline,WaterSupply.Surface.Total,WaterSupply.Ground.Fresh,WaterSupply.Ground.Saline,WaterSupply.Ground.Total,WaterSupply.Total.Abstraction,WaterSupply.Total.TotalUse,WaterSupply.OtherUnits,Household.Surface.Fresh,Household.Surface.Saline,Household.Ground.Fresh,Household.Ground.Saline,Household.Total.Abstraction,Household.OtherUnts,Household.TotalUse,Irrigation.Crop.Total.Abstraction,Irrigation.Crop.TotalUse,Irrigation.Golf.Total.Abstraction,Irrigation.Golf.TotalUse,Animal.Total.Abstraction,Animal.TotalUse,Aquaculture.Total.Abstraction,Aquaculture.TotalUse,Manufacturing.Total.Abstraction,Manufacturing.TotalUse,Mining.Total.Abstraction,Mining.TotalUse,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP
2000,37001,17.91,0,17.91,0.26,0,0.26,18.17,18.17,0,0,0,4.39,0,4.39,-4.39,0,0.96,0.96,1.57,1.57,0.73,0.73,0,0,0.23,0.23,0.2,0.2,160576,69749,64059,26264,4529,26215,15629,26307,36203,22761,6808,56863,5034,5118,8342,1606,3372,4648,18968,151693
2000,37003,1.04,0,1.04,0.05,0,0.05,1.09,1.09,0,0,0,1.13,0,1.13,-1.13,0,0.07,0.07,0.35,0.35,1.6600000000000001,1.6600000000000001,0,0,0.37,0.37,0,0,37119,16399,13722,5333,1170,24452,4924,7089,7618,6510,912,4874,536,67,5111,393,498,1326,3869,27611
2000,37005,0,0,0,0.36,0,0.36,0.36,0.36,0,0,0,0.5,0,0.5,-0.5,0,0.21,0.21,0.6,0.6,0.44000000000000006,0.44000000000000006,0,0,0,0,0,0,10973,8160,4746,2673,284,21244,1926,2802,1943,2533,342,1425,142,44,1392,58,185,163,1211,10221
2000,37007,6.23,0,6.23,0,0,0,6.23,6.23,0,0,0,0.33,0,0.33,-0.33,0,0.27,0.27,0.16999999999999998,0.16999999999999998,2.94,2.94,0,0,0,0,0.14,0.14,25306,11594,9516,4647,1139,20124,3522,4343,4936,4195,921,14018,324,132,2929,283,978,1838,2873,21664
2000,37009,0.27,0,0.27,0.35,0,0.35,0.62,0.62,0,0,0,1.47,0,1.47,-1.47,0,0.28,0.28,0.24,0.24,0.25,0.25,0,0,0,0,0.08,0.08,26786,17649,11805,4748,604,24039,3187,6427,4893,4166,867,1986,218,510,3820,91,729,430,3155,20739
2000,37011,0,0,0,1.12,0,1.12,1.12,1.12,0,0,0,0.43,0,0.43,-0.43,0,0.65,0.65,0.9,0.9,0.02,0.02,0,0,0.92,0.92,0.01,0.01,17501,14166,6587,2056,300,20253,2325,3700,2707,2991,327,2203,194,1181,2241,109,258,3334,2256,17520
2000,37013,0,0,0,2.66,0,2.66,2.66,2.66,0,0,0,0.88,0,0.88,-0.88,0,2.6500000000000004,2.6500000000000004,0.39,0.39,0.35,0.35,0,0,1.04,1.04,0,0,47243,25930,19325,8966,1839,26233,4188,10808,9759,8824,1493,16149,483,597,6963,147,1481,484,4887,44686
2000,37015,0,0,0,1.03,0,1.03,1.03,1.03,0,0,0,0.55,0,0.55,-0.55,0,5.81,5.81,0.08,0.08,2.15,2.15,0,0,2.74,2.74,0.02,0.02,19644,9841,7976,4207,990,20430,3095,4125,3508,3902,675,12909,72,34,3607,197,702,1388,1912,17509
2000,37017,28.68,0,28.68,2.23,0,2.23,30.91,30.91,0,0,0,0.96,0,0.96,-0.96,0,1.27,1.27,0.24000000000000002,0.24000000000000002,3.36,3.36,0,0,13.84,13.84,0,0,33778,17877,13968,8649,978,20803,4798,6752,7125,6850,1556,15312,524,159,6624,334,1455,479,4697,31817
2000,37019,0,0,0,1.2,0,1.2,1.2,1.2,0,0,0,1.47,0,1.47,-1.47,0,0.7000000000000001,0.7000000000000001,5.79,5.79,0.32,0.32,0,0,8.09,8.09,0.12,0.12,126860,86968,54226,16201,3430,31204,9523,37182,20621,21978,3069,23147,1136,3732,19513,971,2181,910,13788,117676
2000,37021,23.26,0,23.26,1.4,0,1.4,24.66,24.66,0,0,0,6.79,0,6.79,-6.79,0,0.54,0.54,0.96,0.96,0.33999999999999997,0.33999999999999997,0,0,2.83,2.83,0.56,0.56,254474,121591,107093,30609,5203,31439,16793,48292,48313,34184,6385,41701,4665,10604,17321,3442,5428,6892,25575,250613
2000,37023,18.69,0,18.69,0.2,0,0.2,18.89,18.89,0,0,0,2.57,0,2.57,-2.57,0,0.72,0.72,0.48000000000000004,0.48000000000000004,0.57,0.57,0,0,0,0,0.08,0.08,89712,41092,34672,15720,3728,23466,12258,17196,17402,17831,2950,16443,1343,618,10634,1192,1754,2888,10725,79997
